id,equipment_type,equipment_id,location,complaint,symptoms,diagnosis,root_cause,recommended_fix,estimated_cost,repair_time,urgency,technician_type,date,technician_notes,status
1011,Air Conditioner,AC-024,Computer Lab 3,"AC blowing warm air, outdoor unit fan running but compressor silent.","Warm air discharge, outdoor condenser fan active, no cooling effect",Refrigerant R-410A low pressure leak at flare nut connection,Vibration-induced micro-crack in suction line flare joint resulting in gas leakage,"Perform nitrogen pressure leak test, re-flare joint, vacuum system and recharge R-410A",4350,3.5,High,Senior HVAC Technician,2025-09-18,Leak sealed at flare connection. Gas charged to 125 PSI. Delta-T across coil is 14°C.,Resolved
1012,Air Conditioner,AC-039,Computer Lab 2,"AC blowing warm air, outdoor unit fan running but compressor silent.","Warm air discharge, outdoor condenser fan active, no cooling effect",Refrigerant R-410A low pressure leak at flare nut connection,Vibration-induced micro-crack in suction line flare joint resulting in gas leakage,"Perform nitrogen pressure leak test, re-flare joint, vacuum system and recharge R-410A",5650,3.6,High,Senior HVAC Technician,2026-03-25,Leak sealed at flare connection. Gas charged to 125 PSI. Delta-T across coil is 14°C.,Resolved
1013,Air Conditioner,AC-018,Seminar Hall,"AC blowing warm air, outdoor unit fan running but compressor silent.","Warm air discharge, outdoor condenser fan active, no cooling effect",Refrigerant R-410A low pressure leak at flare nut connection,Vibration-induced micro-crack in suction line flare joint resulting in gas leakage,"Perform nitrogen pressure leak test, re-flare joint, vacuum system and recharge R-410A",4800,3.8,High,Senior HVAC Technician,2026-02-04,Leak sealed at flare connection. Gas charged to 125 PSI. Delta-T across coil is 14°C.,Verified & Closed
1014,Air Conditioner,AC-021,Computer Lab 1,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1150,0.5,Low,AC Technician,2025-08-02,New NTC sensor calibrated and sealed with heat shrink.,Verified & Closed
1015,Air Conditioner,AC-021,Dean Office,AC display showing error code E4 and shutting down within 5 minutes.,"Error code E4 on panel, unexpected thermal shutdown, intermittent cooling",Room ambient temperature sensor open circuit / resistance drift,Corroded NTC thermistor sensor lead due to ambient humidity,Replace 10k NTC copper coil and ambient temperature thermistor harness,1550,0.7,Low,AC Technician,2026-02-11,New NTC sensor calibrated and sealed with heat shrink.,Verified & Closed
1016,Diesel Generator,DG-010,Hospital Backup Yard,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",5050,1.9,Critical,Power Systems Engineer,2025-12-19,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Resolved
1017,Diesel Generator,DG-038,Hostel Block C Yard,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",8150,2.4,Critical,Power Systems Engineer,2025-07-05,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Resolved
1018,Diesel Generator,DG-033,Science Block Basement,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",4850,2.6,Critical,Power Systems Engineer,2025-04-29,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Verified & Closed
1019,Diesel Generator,DG-041,Science Block Basement,Diesel Generator fails to crank or start during main grid power outage.,"Clicking starter solenoid sound, instrument cluster dimming, engine not rotating",Lead-acid starter battery pack deep discharge and terminal sulfation,Faulty float trickle battery charger failing to maintain 24V DC auxiliary bus,"Clean battery terminals, replace battery charger unit, jump-start and load-test battery bank",7700,2.5,Critical,Power Systems Engineer,2026-04-06,Battery bank reconditioned. New 24V smart float charger installed. Cranking voltage tested at 22.8V.,Resolved
1020,Diesel Generator,DG-039,Hospital Backup Yard,Generator starting but shutting down after 30 seconds with Over-Frequency alarm.,"Engine hunting/surging, erratic RPM, automatic trip on governing fault",Mechanical governor linkage sticking and fuel injection pump air lock,Contaminated diesel with particulate buildup in primary fuel filter and sticking governor spring,"Bleed fuel line, replace primary/secondary fuel filters, lubricate actuator linkage",5350,2.4,High,Diesel Mechanic,2025-05-25,Fuel filters replaced. Governor response tested at 50Hz under 60% step load.,Resolved
1021,Diesel Generator,DG-044,Power Substation Yard,Generator starting but shutting down after 30 seconds with Over-Frequency alarm.,"Engine hunting/surging, erratic RPM, automatic trip on governing fault",Mechanical governor linkage sticking and fuel injection pump air lock,Contaminated diesel with particulate buildup in primary fuel filter and sticking governor spring,"Bleed fuel line, replace primary/secondary fuel filters, lubricate actuator linkage",5950,3.3,High,Diesel Mechanic,2026-05-22,Fuel filters replaced. Governor response tested at 50Hz under 60% step load.,Verified & Closed
1022,Diesel Generator,DG-008,Hostel Block C Yard,Generator starting but shutting down after 30 seconds with Over-Frequency alarm.,"Engine hunting/surging, erratic RPM, automatic trip on governing fault",Mechanical governor linkage sticking and fuel injection pump air lock,Contaminated diesel with particulate buildup in primary fuel filter and sticking governor spring,"Bleed fuel line, replace primary/secondary fuel filters, lubricate actuator linkage",4950,2.2,High,Diesel Mechanic,2025-11-20,Fuel filters replaced. Governor response tested at 50Hz under 60% step load.,Resolved
1023,Diesel Generator,DG-033,Hostel Block C Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4850,2.4,High,Mechanical Technician,2026-03-18,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Verified & Closed
1024,Diesel Generator,DG-041,Hostel Block C Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",3600,1.7,High,Mechanical Technician,2025-04-15,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Verified & Closed
1025,Diesel Generator,DG-039,Power Substation Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",4800,1.5,High,Mechanical Technician,2025-10-20,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Verified & Closed
1026,Diesel Generator,DG-016,Hostel Block C Yard,High coolant temperature alarm triggering within 10 minutes of full load running.,"Coolant temperature exceeding 98°C, radiator fan belt loose, coolant level dropping",Radiator fin clogging and slipping v-belt drive on water pump,Dry dust accumulation in radiator core and worn tensioner pulley,"High-pressure air clean radiator fins, replace tensioner and v-belt, top up ethylene glycol coolant",3750,2.4,High,Mechanical Technician,2026-07-19,Radiator backwashed. Belt tension set to spec. Operating temp stable at 84°C under full load.,Verified & Closed
1027,Elevator,LIFT-005,Library Central,Elevator doors repeatedly closing and reopening without passenger obstruction.,"Door cycle looping 4-5 times at Floor 2, door motor straining, buzzer sounding",Infrared door safety light curtain sensor misalignment and optical lens smudge,Dust coating on lower infrared emitter diodes causing false beam interruption trigger,"Clean optical lenses, align transmitter and receiver strips, calibrate sensitivity",1450,1.7,High,Elevator Specialist,2026-05-11,Photocell curtain realigned and tested across all 128 beams.,Verified & Closed
1028,Elevator,LIFT-017,Admin Tower,Elevator doors repeatedly closing and reopening without passenger obstruction.,"Door cycle looping 4-5 times at Floor 2, door motor straining, buzzer sounding",Infrared door safety light curtain sensor misalignment and optical lens smudge,Dust coating on lower infrared emitter diodes causing false beam interruption trigger,"Clean optical lenses, align transmitter and receiver strips, calibrate sensitivity",1600,1.9,High,Elevator Specialist,2025-07-10,Photocell curtain realigned and tested across all 128 beams.,Verified & Closed
1029,Elevator,LIFT-020,Admin Tower,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",6750,3.5,High,Senior Lift Engineer,2025-08-04,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1030,Elevator,LIFT-029,Hospital Wing West,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",5000,2.8,High,Senior Lift Engineer,2026-05-16,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1031,Elevator,LIFT-036,Hospital Wing West,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",6400,2.8,High,Senior Lift Engineer,2026-01-24,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1032,Elevator,LIFT-015,Academic Block A - Core,Elevator car making grinding sound and vibrating heavily during descent.,"Audible metal screeching, noticeable shuddering between Floors 3 and 4",Guide rail lubrication depletion and guide shoe roller wear,Empty automatic oil lubricator cup and worn nylon guide shoe liner,"Replace guide shoe inserts, clean rail track, refill ISO VG 68 guide rail oil",4100,3.8,High,Senior Lift Engineer,2026-07-09,Replaced four guide shoe liners. Ride quality index tested smooth.,Resolved
1033,Elevator,LIFT-043,Hostel Block 1,Elevator stopping 2 inches below floor level at Ground Floor.,"Floor leveling discrepancy, trip hazard step, floor position reset required",Magnetic floor vane reader sensor bracket loose,Loose mounting bolt on shaft leveling sensor causing delayed trigger signal,Tighten and recalibrate floor leveling magnets and shaft position encoder,2200,2.0,Critical,Elevator Specialist,2025-05-07,Sensor repositioned with threadlocker. Leveling precision ±3mm achieved.,Resolved
1034,Elevator,LIFT-037,Hospital Wing West,Elevator stopping 2 inches below floor level at Ground Floor.,"Floor leveling discrepancy, trip hazard step, floor position reset required",Magnetic floor vane reader sensor bracket loose,Loose mounting bolt on shaft leveling sensor causing delayed trigger signal,Tighten and recalibrate floor leveling magnets and shaft position encoder,2250,2.3,Critical,Elevator Specialist,2025-05-20,Sensor repositioned with threadlocker. Leveling precision ±3mm achieved.,Verified & Closed
1035,Water Pump,WP-007,Main Overhead Tank Sub-station,Water pump running continuously but delivering very low water pressure to top floors.,"Pump motor humming loudly, zero pressure gauge reading, air in pipeline",Suction foot valve stuck partially open and suction line priming lost,Debris lodged in brass foot valve disc preventing positive prime holding,"Dismantle foot valve, clear silt debris, re-prime suction manifold and replace gasket",2200,1.9,High,Plumber & Pump Specialist,2025-07-02,Foot valve replaced with stainless steel mesh strainer. Priming restored.,Resolved
1036,Water Pump,WP-044,Main Overhead Tank Sub-station,Water pump running continuously but delivering very low water pressure to top floors.,"Pump motor humming loudly, zero pressure gauge reading, air in pipeline",Suction foot valve stuck partially open and suction line priming lost,Debris lodged in brass foot valve disc preventing positive prime holding,"Dismantle foot valve, clear silt debris, re-prime suction manifold and replace gasket",1600,1.9,High,Plumber & Pump Specialist,2026-06-08,Foot valve replaced with stainless steel mesh strainer. Priming restored.,Resolved
1037,Water Pump,WP-013,Hostel Water Treatment Plant,Water leaking heavily from pump shaft seal and motor tripping on thermal relay.,"Water puddle around pump base, motor casing hot to touch, breaker tripping",Mechanical shaft seal face cracked and motor bearing water ingress,Dry running of pump causing ceramic-carbon seal face thermal shock,"Replace mechanical ceramic seal, repack shaft gland, test motor dry-run sensor",3850,2.7,High,Pump Technician,2026-03-06,Replaced mechanical seal and fitted dry-run float switch protector.,Resolved
1038,Water Pump,WP-030,Garden Irrigation Hub,Water leaking heavily from pump shaft seal and motor tripping on thermal relay.,"Water puddle around pump base, motor casing hot to touch, breaker tripping",Mechanical shaft seal face cracked and motor bearing water ingress,Dry running of pump causing ceramic-carbon seal face thermal shock,"Replace mechanical ceramic seal, repack shaft gland, test motor dry-run sensor",4550,3.4,High,Pump Technician,2026-01-04,Replaced mechanical seal and fitted dry-run float switch protector.,Resolved
1039,Classroom Projector,PRJ-004,Lecture Hall 101,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",650,1.0,Medium,AV Technician,2026-09-01,Filter washed and dried. Thermal sensor readings normalized.,Verified & Closed
1040,Classroom Projector,PRJ-027,Lecture Hall 204,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",1050,0.6,Medium,AV Technician,2025-05-07,Filter washed and dried. Thermal sensor readings normalized.,Resolved
1041,Classroom Projector,PRJ-011,Lecture Hall 101,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",600,1.0,Medium,AV Technician,2025-08-24,Filter washed and dried. Thermal sensor readings normalized.,Resolved
1042,Classroom Projector,PRJ-019,Auditorium Main,Projector turning on for 2 minutes then shutting down with blinking red Temp light.,"Rapid shutdown, red Temp warning LED, loud exhaust fan whining",Thermal sensor cutoff due to blocked intake air filter and dust on fan blades,Dust accumulation clogging intake sponge filter preventing heat dissipation from lamp module,"Deep clean air filter sponge, blow out optical engine compartment, inspect fan RPM",1300,1.0,Medium,AV Technician,2025-07-10,Filter washed and dried. Thermal sensor readings normalized.,Preventive Maintenance Completed
1043,Classroom Projector,PRJ-010,Auditorium Main,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1100,0.6,Medium,AV Technician,2026-03-06,Replaced wall socket module with reinforced metal pass-through.,Resolved
1044,Classroom Projector,PRJ-004,Conference Room 3,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,850,0.5,Medium,AV Technician,2025-10-30,Replaced wall socket module with reinforced metal pass-through.,Resolved
1045,Classroom Projector,PRJ-011,Conference Room 3,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1300,0.5,Medium,AV Technician,2026-07-20,Replaced wall socket module with reinforced metal pass-through.,Resolved
1046,Classroom Projector,PRJ-005,Conference Room 3,Projector displays 'No Signal' despite HDMI cable connected securely to laptop.,"Blue screen standby, HDMI source unacknowledged, cable pins loose",Damaged HDMI wall plate receptacle and cracked internal solder trace,Repeated mechanical tugging on wall HDMI port causing physical pin fracture,Replace wall plate HDMI 2.0 female-female connector module and patch cord,1200,0.6,Medium,AV Technician,2026-01-19,Replaced wall socket module with reinforced metal pass-through.,Verified & Closed
1047,Classroom Projector,PRJ-039,Conference Room 3,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,3050,1.6,Medium,Senior AV Specialist,2026-08-07,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1048,Classroom Projector,PRJ-034,Conference Room 3,Projector image shows severe yellow discoloration and flickering color band.,"Distorted color matrix, flickering tint, faint grinding sound from optical chamber",DLP color wheel indexing sensor dirty / motor bearing seizure,Dust layer on color wheel optical optocoupler sensor disc,Clean optical color wheel sensor with isopropanol and realign optical path,3700,1.8,Medium,Senior AV Specialist,2025-10-28,Color wheel cleaned. RGB calibration completed with test pattern.,Resolved
1049,UPS System,UPS-017,Biotech Lab Annex,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",7050,2.5,High,Power Electronics Technician,2025-08-07,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1050,UPS System,UPS-005,Exam Control Room,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",9750,2.4,High,Power Electronics Technician,2026-09-07,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Resolved
1051,UPS System,UPS-005,Main Datacenter,UPS constantly beeping with 'Battery Weak / Replace' indicator illuminated.,"Audible alert every 5 seconds, backup time dropped from 30 mins to 20 seconds",Sulfated 12V 42Ah SMF batteries with high internal impedance,End of electrochemical battery service life (3+ years) and high operating ambient temperature,"Perform battery conductance test, replace weak battery block, calibrate float voltage",10100,1.9,High,Power Electronics Technician,2026-02-10,4 dead cells in 16-battery string replaced. Battery bank autonomy load-tested to 25 minutes.,Verified & Closed
1052,UPS System,UPS-024,Biotech Lab Annex,UPS switching automatically to Static Bypass mode with Overload error.,"Bypass LED active, inverter offline, cooling fans operating at maximum RPM",Inverter DC-AC bridge heat-sink thermal sensor triggering due to fan failure,Exhaust fan 1 seized up with dust ball causing IGBT heatsink to reach 85°C,"Replace 120mm 24V DC ball bearing exhaust fan, clean heatsink, reset bypass alarm",1700,1.2,High,UPS Engineer,2025-11-29,Replaced cooling fans. UPS transferred back to online inverter mode.,Resolved
1053,UPS System,UPS-040,Exam Control Room,UPS switching automatically to Static Bypass mode with Overload error.,"Bypass LED active, inverter offline, cooling fans operating at maximum RPM",Inverter DC-AC bridge heat-sink thermal sensor triggering due to fan failure,Exhaust fan 1 seized up with dust ball causing IGBT heatsink to reach 85°C,"Replace 120mm 24V DC ball bearing exhaust fan, clean heatsink, reset bypass alarm",2750,1.4,High,UPS Engineer,2026-09-08,Replaced cooling fans. UPS transferred back to online inverter mode.,Resolved
1054,RO Water Purifier,RO-009,Student Mess Floor 1,"Water purifier flow rate has dropped to a trickle, taking 10 mins to fill one bottle.","Very slow permeate flow, high reject water flow ratio, booster pump running continuously",Sediment pre-filter and activated carbon block choked with silt,High turbidity in incoming municipal water supply over past 2 weeks,Replace 5-micron spun polypropylene pre-filter and 10-inch CTO carbon block,1000,0.9,Medium,Water Plant Technician,2025-12-20,Pre-filters replaced. Flow rate restored to 50 LPH at 60 PSI.,Resolved
1055,RO Water Purifier,RO-018,Staff Cafeteria,"Water purifier flow rate has dropped to a trickle, taking 10 mins to fill one bottle.","Very slow permeate flow, high reject water flow ratio, booster pump running continuously",Sediment pre-filter and activated carbon block choked with silt,High turbidity in incoming municipal water supply over past 2 weeks,Replace 5-micron spun polypropylene pre-filter and 10-inch CTO carbon block,1500,0.6,Medium,Water Plant Technician,2025-12-02,Pre-filters replaced. Flow rate restored to 50 LPH at 60 PSI.,Resolved
1056,RO Water Purifier,RO-033,Sports Complex,"Water purifier flow rate has dropped to a trickle, taking 10 mins to fill one bottle.","Very slow permeate flow, high reject water flow ratio, booster pump running continuously",Sediment pre-filter and activated carbon block choked with silt,High turbidity in incoming municipal water supply over past 2 weeks,Replace 5-micron spun polypropylene pre-filter and 10-inch CTO carbon block,1150,1.0,Medium,Water Plant Technician,2025-05-04,Pre-filters replaced. Flow rate restored to 50 LPH at 60 PSI.,Verified & Closed
1057,RO Water Purifier,RO-041,Student Mess Floor 1,"Water purifier flow rate has dropped to a trickle, taking 10 mins to fill one bottle.","Very slow permeate flow, high reject water flow ratio, booster pump running continuously",Sediment pre-filter and activated carbon block choked with silt,High turbidity in incoming municipal water supply over past 2 weeks,Replace 5-micron spun polypropylene pre-filter and 10-inch CTO carbon block,1700,0.6,Medium,Water Plant Technician,2025-07-10,Pre-filters replaced. Flow rate restored to 50 LPH at 60 PSI.,Resolved
1058,RO Water Purifier,RO-011,Sports Complex,Drinking water tastes salty and TDS meter reading above 450 ppm (normal < 100).,"Salty/mineral taste, elevated TDS reading, membrane pressure high",Thin Film Composite (TFC) RO membrane scaling and salt passage leakage,Calcium carbonate scale buildup rupturing membrane layers due to antiscalant dosing lapse,Sanitize filter housings and replace 75 GPD Dow Filmtec RO membrane,3600,1.7,High,Water Plant Specialist,2025-06-21,New RO membrane installed. Output TDS measured at 62 ppm.,Resolved
1059,RO Water Purifier,RO-005,Student Mess Floor 1,Drinking water tastes salty and TDS meter reading above 450 ppm (normal < 100).,"Salty/mineral taste, elevated TDS reading, membrane pressure high",Thin Film Composite (TFC) RO membrane scaling and salt passage leakage,Calcium carbonate scale buildup rupturing membrane layers due to antiscalant dosing lapse,Sanitize filter housings and replace 75 GPD Dow Filmtec RO membrane,3600,1.0,High,Water Plant Specialist,2026-04-17,New RO membrane installed. Output TDS measured at 62 ppm.,Resolved
1060,Electrical Panel,EP-028,Auditorium Main Switchboard,Smell of burning insulation and humming sound coming from main electrical distribution board.,"Pungent ozone/burning plastic smell, audible 50Hz arcing hum, warm panel exterior",Loose terminal lug on R-phase 200A MCCB busbar connection causing thermal hot-spot,Thermal cycling loosening bolted terminal connection leading to high contact resistance,"De-energize panel, re-crimp burned lug, torque all busbar connections, apply torque seal",2350,2.0,Critical,Senior Electrical Engineer,2026-05-09,Thermographic scan verified: Hot spot reduced from 112°C to 38°C under load.,Verified & Closed
